Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/20,,,,,,,,,,SPICE,1,2020-21
05/20,618,891.83,530.809,48156,48.598377,85.004787,57.17134142104256,7.2821675,57.06641930441727,SPICE,1,2020-21
06/20,3457,5251.33,3238,334104,362.216,532.545,68.01603620351332,45.995,65.42667681269704,SPICE,1,2020-21
07/20,3548,5064.583333333333,3062.99,331197,342.58669199999997,489.130542,70.03993056724721,42.487529,68.13498318530128,SPICE,1,2020-21
08/20,3937,5525.133333333333,3368.301,390885,406.988875,535.160924,76.04981170112487,46.5458065,74.2511861836576,SPICE,1,2020-21
09/20,5410,8035.616666666667,4827.978,529758,560.6021979999999,767.945381,73.00026953349172,66.694727,72.1546276514484,SPICE,1,2020-21
10/20,6837,10229.67,6203.834,704498,732.301642,989.6164150000001,73.99853427047286,86.03673850000001,71.80711051709625,SPICE,1,2020-21
11/20,7813,11695.916666666666,7055.178,839523,871.5558930000001,1121.0066399999998,77.74761200344007,97.7015925,72.84275195923767,SPICE,1,2020-21
12/20,8719,13577.7,8131.571,951550,999.565456,1281.416105,78.00475209416851,111.61993249999999,72.82601599853142,SPICE,1,2020-21
01/21,9166,14272.283333333333,8574.156,991883,1042.368244,1361.661376,76.55120886677776,118.494653,71.8124566844379,SPICE,1,2020-21
02/21,8752,13370.05,7962.715,962081,991.225375,1256.5100619999998,78.88718164518767,109.3702405,74.11078193225697,SPICE,1,2020-21
03/21,9520,14443.9,8630.777,1002950,1038.941395,1357.405945,76.53873911683804,118.177347,71.33210284304317,SPICE,1,2020-21
