Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
05/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
06/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
07/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
08/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
09/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
10/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
11/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
12/23,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
01/24,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
02/24,0,0,0,0,0,0,0,0,0,AKASA,2,2023-24
03/24,6,21.916666666666668,13.77,459,1.053405,2.6025300000000002,40.476190476190474,0.28236762,33.328460253339244,AKASA,2,2023-24
