Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/22,2907,3837,2218,120306,49,73,66.9,7.4,67.5,ALLIANCE,1,2022-23
05/22,3085,4175,2263,125358,51,77,65.5,7.8,65.9,ALLIANCE,1,2022-23
06/22,2907,3837,2218,120306,49,73,66.9,7.4,67.5,ALLIANCE,1,2022-23
07/22,2620,3302,1819,111715,46,64,71.9,6,70.9,ALLIANCE,1,2022-23
08/22,3085,3958,2263,125358,56,84,67,7.8,65.9,ALLIANCE,1,2022-23
09/22,2907,3811,2218,120306,54,79,68.5,7.1,69.8,ALLIANCE,1,2022-23
10/22,3619,4733,2714,139768,53,86,62,7.1,39.5,ALLIANCE,1,2022-23
11/22,3548,4642,1266,144477,57,84,67.3,6.3,80.3,ALLIANCE,1,2022-23
12/22,4025,5128,1457,169217,66,95,70,8.4,71.5,ALLIANCE,1,2022-23
01/23,3729,4863,1352,151400,57,87,66,8.9,58.6,ALLIANCE,1,2022-23
02/23,3310,4398,1199,133815,52,80,64.9,7.8,61.1,ALLIANCE,1,2022-23
03/23,3548,4769,1305,133282,52,80,65.5,8.4,56.7,ALLIANCE,1,2022-23
