Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/22,,,,,,,,,,AKASA,1,2022-23
05/22,,,,,,,,,,AKASA,1,2022-23
06/22,,,,,,,,,,AKASA,1,2022-23
07/22,,,,,,,,,,AKASA,1,2022-23
08/22,246,348.43,141,23744,14.05987,26.592111,52.87233495678474,2.885173694,37.5202174113258,AKASA,1,2022-23
09/22,623,933,400,92589,61.372,75.537,81.24760051365556,8.207,63.263068112586815,AKASA,1,2022-23
10/22,1155,1811.88,798,160617,116.847,150.836,77.46625474024768,16.3652,62.63412607239752,AKASA,1,2022-23
11/22,1483,2416,1090,206775,163.281,206.035,79.24915669667776,22.355,65.98523820174456,AKASA,1,2022-23
12/22,1977,3298.35,1508,292393,235.89,281.43,83.81835625199872,30.916,68.68611722085652,AKASA,1,2022-23
01/23,2448,4124,1856,356550,281.527161,339.793247,82.85248853106253,38.062765586000005,65.3508886704468,AKASA,1,2022-23
02/23,2469,4089,1832.203,361135,278.748,332.978,83.71363873889565,37.571,65.84067498868808,AKASA,1,2022-23
03/23,3199,5419.284,2500.174,419911,331.953,451.005,73.60295340406425,51.269,56.745791804014125,AKASA,1,2022-23
