Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/20,26,110.8,78.404,0,0,0,0,0.15794856,46.59370113915569,AIE,2,2020-21
05/20,227,898,669.66,21478,57.673,124.557,46.30249604598698,4.89414,98.85352687091091,AIE,2,2020-21
06/20,497,1852.0399999999997,1274.031806451613,44646,125.164874,236.96991599999998,52.81888777814311,14.047318566,83.5799055089216,AIE,2,2020-21
07/20,715,2495.1800000000035,1671.076,70782,190.210294,310.820136,61.196258533263105,19.030791054,80.48504981499757,AIE,2,2020-21
08/20,1047,3677.68,2459.7247741935485,108214,297.931277,457.50880800000004,65.12033687447608,30.020534939,80.27203931564158,AIE,2,2020-21
09/20,1025,3756.3399999999942,2493.129,106419,295.585435,463.721994,63.741948586549036,32.042556317999995,78.99997412434914,AIE,2,2020-21
10/20,1267,4687.490000000007,3133.965,126862,354.555005,582.91749,60.82421802097584,36.254396784,80.01640935259644,AIE,2,2020-21
11/20,1401,5212.839999999998,3485.3900000000003,159026,422.46085700000003,648.28254,65.16616304366303,40.136107346,79.14275095779986,AIE,2,2020-21
12/20,1597,5966.569999999995,4004.356,201257,549.166872,744.810216,73.73245696726588,51.491337484,79.77630219988791,AIE,2,2020-21
01/21,1781,6720.3500000000095,4508.563,211845,583.081305,838.592718,69.53092871955991,55.696125522,79.4031382425898,AIE,2,2020-21
02/21,1551,5941.939999999998,3996.754,182235,497.559596,743.3962439999999,66.93060397006796,47.061895686,79.02728942358313,AIE,2,2020-21
03/21,1745,6651.4400000000005,4481.999,211519,581.003029,833.6518140000001,69.69372815399403,54.252401339,78.47961347361218,AIE,2,2020-21
