Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/22,396,1740.31,1328.058,54418,227.299421,306.328032,74.20131272870253,46.049596799999996,64.91692662551173,VISTARA,2,2022-23
05/22,440,2054.32,1561.956,68161,275.983195,364.79469,75.65438932238844,53.392254,68.56669613536074,VISTARA,2,2022-23
06/22,476,2109.38,1605.688,77120,304.28504499999997,369.495026,82.35159436219311,53.5519084,73.19416441935802,VISTARA,2,2022-23
07/22,514,2229.04,1696.914,84989,327.89398700000004,389.16181800000004,84.2564639781799,42.4203372,99.27687582832324,VISTARA,2,2022-23
08/22,578,2501.28,1906.598,92720,347.209305,424.851274,81.72490616092632,49.6697772,87.66644142104187,VISTARA,2,2022-23
09/22,572,2464.08,1863.844,92524,337.49554,413.57324,81.60478177940139,57.8815376,74.7361335110766,VISTARA,2,2022-23
10/22,696,2884.54,2176.781,107811,376.034821,469.26088599999997,80.13342518387523,56.769766000000004,83.52244853325624,VISTARA,2,2022-23
11/22,742,3137.93,2372.042,115848,418.450347,528.1265080000001,79.23297555819713,63.4902152,79.2993526669459,VISTARA,2,2022-23
12/22,916,3854.55,2882.308,147340,526.992931,631.917788,83.39580575313698,71.31620240000001,85.44139137472693,VISTARA,2,2022-23
01/23,938,3924.883333333333,2914.424,144833,523.4154050000001,634.923967,82.43749365347239,85.14326659999998,75.24196308219432,VISTARA,2,2022-23
02/23,846,3384,2624.888,139056,497.925168,572.097544,87.03501233698707,67.9293922,90.06080880839423,VISTARA,2,2022-23
03/23,1046,4240.7,3161.867,167254,564.142856,677.268568,83.29677216025772,89.56317006399999,74.45348431209285,VISTARA,2,2022-23
