Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/24,2976,5348.7333333333345,2768.679999999998,422278,399.7752409999998,486.16916500000013,82.22965785993436,55.37359999999995,29.922990966272746,AIE,1,2024-25
05/24,2233,4168.566666666667,1647.2969999999996,328320,328.66900400000026,388.78556800000007,84.53734681838813,44.18614000000003,76.04398211746937,AIE,1,2024-25
06/24,2844,5302.066666666667,2802.5030000000006,423233,426.312631,492.05723200000006,86.63883046027459,56.05006000000001,76.98258582208473,AIE,1,2024-25
07/24,2283,4014.7833333333338,2140.7149999999997,317746,308.142391,376.31953799999985,81.8831763659319,42.81430000000005,74.97423186720314,AIE,1,2024-25
08/24,3094,5252.2833333333365,2970.717,408361,400.0511809999999,521.0137679999999,76.78322638875062,59.41433999999997,69.57612672183183,AIE,1,2024-25
09/24,3859,6731.533333333333,3498.4269999999997,517124,497.1160119999997,645.5948970000004,77.00123007632747,73.45178000000004,72.39047665570521,AIE,1,2024-25
10/24,8193,15390.083333333336,8278.033,1177057,1202.927878,1475.0409539999987,81.55216807627708,165.5606600000003,74.11476169864257,AIE,1,2024-25
11/24,7951,14771.700000000006,7888.963999999994,1221495,1233.7035620000026,1404.026355999999,87.86897459067382,157.77927999999994,80.84474651736603,AIE,1,2024-25
12/24,8714,16177.24999999998,8636.586450083023,1342308,1342.3379276478279,1544.4593890441558,86.91312553569841,172.7317290016602,80.20128149936986,AIE,1,2024-25
01/25,8829,16751.283333333347,8965.412918555547,1335289,1368.801540430218,1603.9646505354285,85.33863511102258,179.30825837111098,79.74201140093774,AIE,1,2024-25
02/25,9362,17713.13333333336,9478.900747216894,1423613,1464.1381023912481,1690.841601956004,86.59226864879004,189.5780149443376,78.83417911825181,AIE,1,2024-25
03/25,11068,20987.86666666668,11211.272777165968,1575238,1617.0398432955321,2001.710966259669,80.78288377053153,224.22545554331887,74.7272052608237,AIE,1,2024-25
