Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/22,478,705,495,,0,0,0,15.378,70.11314865392119,BLUE,1,2022-23
05/22,531,729.17,555,,0,0,0,17.154,72.50786988457503,BLUE,1,2022-23
06/22,523,709.5,543,,0,0,0,16.661,73.92713522597683,BLUE,1,2022-23
07/22,477,644.15,475,,0,0,0,14.662,72.4662392579457,BLUE,1,2022-23
08/22,442,580.55,440,,0,0,0,13.526,71.53630045837647,BLUE,1,2022-23
09/22,473,631.05,478,,0,0,0,14.669,75.4039130138387,BLUE,1,2022-23
10/22,449,601,457,,0,0,0,14.012,74.02940336854125,BLUE,1,2022-23
11/22,486,652.17,493,,0,0,0,15.168,73.39794303797468,BLUE,1,2022-23
12/22,515,700.2666666666667,527,,0,0,0,16.043,74.23175216605374,BLUE,1,2022-23
01/23,468,638.5833333333334,477,,0,0,0,14.311,73.90119488505346,BLUE,1,2022-23
02/23,456,622.0833333333334,466,,0,0,0,14.176,71.64221218961626,BLUE,1,2022-23
03/23,508,692.8333333333334,518,,0,0,0,15.754,72.88942490795989,BLUE,1,2022-23
