Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2019-20
05/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2019-20
06/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2019-20
07/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2019-20
08/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2019-20
09/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2019-20
10/19,2,2.8,0.7,10,0.004,0.05,8,0.0046,6.521739130434782,ALLIANCE,2,2019-20
11/19,18,23.6,6.4,464,0.164,0.447,36.68903803131991,0.0414,35.990338164251206,ALLIANCE,2,2019-20
12/19,26,33.3,9.2,1158,0.41,0.644,63.66459627329192,0.0598,62.374581939799334,ALLIANCE,2,2019-20
01/20,26,32.4,9.2,1181,0.418,0.644,64.90683229813664,0.0598,63.54515050167224,ALLIANCE,2,2019-20
02/20,30,36.7,10.6,1006,0.356,0.743,47.91386271870794,0.069,46.95652173913043,ALLIANCE,2,2019-20
03/20,29,34.8,10.3,475,0.168,0.719,23.365785813630044,0.06670000000000001,22.938530734632682,ALLIANCE,2,2019-20
