Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/19,3377,20466,21691,598024,2847.2539500000003,3571.84759,79.71375816738026,515.4841,67.87431852893233,AI,2,2019-20
05/19,3444,21090.01666666667,22978.25,598769,3033.451761,3699.47025,81.99692269453985,534.6543251760003,71.64981339657098,AI,2,2019-20
06/19,3432,20627.79999999999,21460.312,628878,3178.2873280000003,3635.967688,87.41241949122625,524.4570309999999,73.3903508521368,AI,2,2019-20
07/19,3570,20627.79999999999,22005.207,598692,3073.593756,3676.071296,83.61083092551642,531.3163245720003,71.43912842152153,AI,2,2019-20
08/19,3646,20729,21977.857,622467,3125.2998509999998,3753.964647,83.25331069640198,540.3766508200003,69.09405042228018,AI,2,2019-20
09/19,3535,20209.783333333322,21114.622,556384,2745.51074,3688.583926,74.43264936030089,533.128035868,62.57321948967937,AI,2,2019-20
10/19,3733,21673.34999999999,21830.797,587118,2920.520134,3983.8353119999997,73.30925867349207,572.7282096000008,62.421385013353046,AI,2,2019-20
11/19,3762,21881,21666.84,624138,3090.911453,3938.280798,78.483775320685,564.0409590479999,67.89541376304732,AI,2,2019-20
12/19,3885,22670.399999999998,22430.362,680680,3308.63043,4075.417452,81.18506800760493,584.2919423480005,70.34885366472942,AI,2,2019-20
01/20,3862,22678.31666666666,22486.997,681323,3448.481131,4069.2033199999996,84.74585465048722,583.4722292680009,71.72139060947256,AI,2,2019-20
02/20,3546,20704.366666666654,20388.311,591237,3018.390273,3744.30292,80.61287608108374,536.2245421360001,69.62388287153624,AI,2,2019-20
03/20,2029,12063.18333333333,12378.202,293819,1646.3553559999998,2269.889188,72.53020828962157,331.699779048,64.81666012164818,AI,2,2019-20
