Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/24,60,76,21.24,3144,1.1129760000000002,1.33812,83.17460317460319,0.14443199999999998,73.97647335770466,ALLIANCE,2,2024-25
05/24,62,75,21.948,2941,1.041114,1.3827239999999998,75.29441884280595,0.1492464,66.96774193548386,ALLIANCE,2,2024-25
06/24,60,73,21.24,3147,1.114038,1.33812,83.25396825396825,0.14443199999999998,74.04702558989698,ALLIANCE,2,2024-25
07/24,60,75,21.24,3432,1.214928,1.33812,90.7936507936508,0.14443199999999998,80.75294948487871,ALLIANCE,2,2024-25
08/24,60,74,21.24,3178,1.125012,1.339182,84.00740153317471,0.14443199999999998,74.77647058823531,ALLIANCE,2,2024-25
09/24,42,52,14.868,1102,0.390108,1.00359,38.87125220458554,0.1011024,37.04201680672269,ALLIANCE,2,2024-25
10/24,16,20,5.664,299,0.10584600000000001,0.38586000000000004,27.431192660550458,0.0385152,26.382352941176467,ALLIANCE,2,2024-25
11/24,6,7,2.124,105,0.03717,0.14868,25,0.0141246,25.26301629780666,ALLIANCE,2,2024-25
12/24,,,,,,,,,,ALLIANCE,2,2024-25
01/25,,,,,,,,,,ALLIANCE,2,2024-25
02/25,,,,,,,,,,ALLIANCE,2,2024-25
03/25,,,,,,,,,,ALLIANCE,2,2024-25
