Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/24,1508,5161.4333,5058.118,240477,892.609188,1139.2315449999999,78.35186726680749,158.32792942100002,59.59790936235363,VISTARA,2,2024-25
05/24,1504,6786.25,5105.592,251289,938.242493,1158.276561,81.00332205548274,161.896117057,70.61490462375296,VISTARA,2,2024-25
06/24,1492,6875.483333333334,5163.51,249111,957.779662,1185.856017,80.7669437325965,167.93061452999999,72.24943169928983,VISTARA,2,2024-25
07/24,1564,7300.216666666666,5477.06,246110,946.514835,1264.909027,74.82868845080984,180.40040067500001,66.84429769956219,VISTARA,2,2024-25
08/24,1492,7001.5166,5231.868,239256,926.182379,1222.465216,75.76349550709833,176.49171377800002,65.72109949293757,VISTARA,2,2024-25
09/24,1418,6530.033333333334,4929.114,213208,817.088517,1137.957817,71.80305849597235,163.92211838900002,63.22792455440538,VISTARA,2,2024-25
10/24,1499,6983.233333333334,5272.813,213890,821.1695189999999,1223.1861410000001,67.13365132870646,176.770708222,59.687214953370216,VISTARA,2,2024-25
11/24,513,2415.983333333333,1796.689,79771,295.760598,417.271591,70.87963915568841,59.840863639000005,56.62479625380327,VISTARA,2,2024-25
12/24,,,,,,,,,,VISTARA,2,2024-25
01/25,,,,,,,,,,VISTARA,2,2024-25
02/25,,,,,,,,,,VISTARA,2,2024-25
03/25,,,,,,,,,,VISTARA,2,2024-25
