Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/19,0,0,0,0,0,0,0,0,0,VISTARA,2,2019-20
05/19,0,0,0,0,0,0,0,0,0,VISTARA,2,2019-20
06/19,0,0,0,0,0,0,0,0,0,VISTARA,2,2019-20
07/19,0,0,0,0,0,0,0,0,0,VISTARA,2,2019-20
08/19,132,214.18,475.567,16718,60.548928999999994,79.607712,76.05912477424296,8.6757833,73.26452430179991,VISTARA,2,2019-20
09/19,240,322.66,776.64,27672,88.74837699999999,129.30552,68.63463910898776,13.870590000000002,67.18704621072355,VISTARA,2,2019-20
10/19,248,441.59,802.528,27361,88.48877499999999,133.615704,66.22632845612219,14.332943000000002,64.82493773260661,VISTARA,2,2019-20
11/19,250,438.59,791.85,33135,107.164181,131.380372,81.5678775822008,13.947793099999998,80.67397418592338,VISTARA,2,2019-20
12/19,302,535.43,884.662,36228,109.56639100000001,145.084568,75.5189835213901,14.8623216,77.40695810942483,VISTARA,2,2019-20
01/20,300,533.35,881.62,35482,106.21851099999999,144.58568,73.46406020291913,14.811216,75.3006617079921,VISTARA,2,2019-20
02/20,318,560.16,856.178,32820,83.159474,140.530696,59.175309286164776,14.433729599999998,60.49541602885509,VISTARA,2,2019-20
03/20,188,325.3,451.849,14490,32.34994,74.233796,43.57845313474202,7.6465512,44.42190487130983,VISTARA,2,2019-20
