Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/21,,,,,,, ,, ,ALLIANCE,2,2021-22
05/21,0,0,0,0,0,0, ,0, ,ALLIANCE,2,2021-22
06/21,,,,,,,,,,ALLIANCE,2,2021-22
07/21,,,,,,,,,,ALLIANCE,2,2021-22
08/21,,,,,,,,,,ALLIANCE,2,2021-22
09/21,,"Monthly Traffic And Operating Statistics (Provisional)
 (Non- Scheduled Domestic Services)",,,,,,,,ALLIANCE,2,2021-22
10/21,AIRCRAFT FLOWN,,,"PASSENGERS CARRIED
(IN NUMBER)","PASSENGER KMS.PERFORMED
(IN THOUSAND)","AVAILABLE SEAT KILOMETRE
(IN THOUSAND)"," PAX.LOAD FACTOR#
(IN %)","AVAILABLE TONNE KILOMETRE
(IN THOUSAND)"," WEIGHT LOAD FACTOR##
(IN %)",ALLIANCE,2,2021-22
11/21,"DEPARTURES
(IN NUMBER)","HOURS
(IN NUMBER)","KILOMETRE
(IN THOUSAND)",,,,,,,ALLIANCE,2,2021-22
12/21,,,,,,, ,, ,ALLIANCE,2,2021-22
01/22,,,,,,, ,, ,ALLIANCE,2,2021-22
02/22,,,,,,, ,, ,ALLIANCE,2,2021-22
03/22,,,,,,, ,, ,ALLIANCE,2,2021-22
