Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/24,4397,6795.666666666667,4121.634,617484,629.3991,692.7885570000001,90.85010045857324,63.5493295,78.64533656834254,SPICE,1,2024-25
05/24,4004,6028.033333333334,3596.778,554464,549.305419,583.603901,94.1229861655774,52.936166,82.66593111254028,SPICE,1,2024-25
06/24,3637,5548.816666666667,3313,499538,499.202836,545.609619,91.49450790749347,48.7870585,82.2394295304153,SPICE,1,2024-25
07/24,3115,4610.1,2650.702,405360,380.15836099999996,421.080553,90.28162385832145,37.332985,82.07131189314222,SPICE,1,2024-25
08/24,2729,3877.55,2163.233,302378,268.364222,331.279974,81.00828394776438,28.9712095,74.97869919645571,SPICE,1,2024-25
09/24,2281,3276.95,1865.316,261053,237.263798,295.27626799999996,80.35315523562497,25.768344000000003,74.94476381101555,SPICE,1,2024-25
10/24,3079,4405.2,2535.462,334601,314.924853,388.61440799999997,81.03787366525022,34.0910345,75.59398410071717,SPICE,1,2024-25
11/24,3579,5355.483333333334,3151.588,442543,430.50616499999995,489.92233799999997,87.87232824644138,42.973504999999996,80.31907345786665,SPICE,1,2024-25
12/24,3752,5828.583333333333,3495.747,489394,494.633485,565.677548,87.44089044170444,49.686077499999996,79.59020934280836,SPICE,1,2024-25
01/25,3607,5596.1,3323.999,465732,470.566164,540.09235,87.12698189485558,47.15732,79.15045736689454,SPICE,1,2024-25
02/25,3407,5226.316666666667,3039.18,453930,442.261689,484.842482,91.21760270998695,42.365633,82.1279402815721,SPICE,1,2024-25
03/25,3804,5854.05,3493.633,479518,484.082688,570.766843,84.81268558902606,50.128929,77.07846809015211,SPICE,1,2024-25
