Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
05/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
06/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
07/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
08/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
09/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
10/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
11/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
12/18,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
01/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
02/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
03/19,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2018-19
