Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/23,2718,10814,7262.66503,368248,1002.871945,1350.855696,74.23975395518487,129.89703015,69.05944344255663,AIE,2,2023-24
05/23,2797,11123.48,7495.3364,444759,1206.214557,1394.132571,86.5207930788671,140.30973171,82.07378770990312,AIE,2,2023-24
06/23,2658,10473.017900000004,7027.87708,402310,1073.445684,1307.185137,82.11887158261042,137.46756851,76.4460737023623,AIE,2,2023-24
07/23,2738,10808.5166,7248.72643,407541,1089.46121,1348.26311,80.8047926194465,138.56590028,75.18938960413038,AIE,2,2023-24
08/23,2835,11271.49,7572.50838,417544,1130.48053,1408.48656,80.26207435021601,142.406804,78.02660317410115,AIE,2,2023-24
09/23,2742,10972.48,7310.06,366910,992.05942,1359.6713300000001,72.96317853521262,129.5966,74.25217173907339,AIE,2,2023-24
10/23,2777,11126.59,7425.56023,387544,1041.40362,1381.1542,75.40096681456713,136.273927,73.08620026778858,AIE,2,2023-24
11/23,2736,10821.59,7307.59777,406427,1092.16538,1359.21318,80.35276556102848,129.711254,76.75565393115389,AIE,2,2023-24
12/23,2940,11746.4,7995.44934,431203,1182.6003899999998,1487.1535700000002,79.52106721567428,79.1395574,76.2391413753345,AIE,2,2023-24
01/24,3033,12589.749999999998,8207.013000000003,465221,1266.3979719999993,1533.1756079999993,82.59966864800265,163.62618000000003,58.105240636003366,AIE,2,2023-24
02/24,2910,11970,8008,432768,1181.4798420000004,1491.6363300000007,79.20696340239982,156.11744000000007,56.35006889941312,AIE,2,2023-24
03/24,3277,13966.16666666667,8912.773000000003,456971,1267.335485,1696.8765459999993,74.6863693759841,176.68014,53.094337763146406,AIE,2,2023-24
