Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/18,472,854,474,0,0,0,0,14.680802,68.16846245865858,BLUE,1,2018-19
05/18,497,906.283,496,0,0,0,0,15.026978,73.83814629927588,BLUE,1,2018-19
06/18,509,951,509,0,0,0,0,15.763713,71.31543818388472,BLUE,1,2018-19
07/18,497,913.4166,497,0,0,0,0,15.30945,70.49114109259314,BLUE,1,2018-19
08/18,496,895.9167,500,0,0,0,0,15.412,72.24240851284713,BLUE,1,2018-19
09/18,466,857.08333,471,0,0,0,0,14.602,73.66114230927269,BLUE,1,2018-19
10/18,539,947.666,552,0,0,0,0,17.177,68.56261279618093,BLUE,1,2018-19
11/18,479,869.1666,479,0,0,0,0,14.619861,68.08389628328204,BLUE,1,2018-19
12/18,488,885.1666,487,0,0,0,0,14.763326999999999,70.32032142890286,BLUE,1,2018-19
01/19,467,840.416,460,0,0,0,0,13.929529,68.26612730408903,BLUE,1,2018-19
02/19,432,771.833,424,0,0,0,0,12.947940000000001,67.45303886178033,BLUE,1,2018-19
03/19,464,860.0833,461,0,0,0,0,14.262,68.8122282989763,BLUE,1,2018-19
