Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/18,29818,52951,27103.9,4579916,4420.575,4809.221,91.91873278437403,526.071,78.2917705024607,INDIGO,1,2018-19
05/18,32110,57307.333,29014.6,4852909,4677.509,5141.93,90.96796339117802,563.3003,77.67950771551159,INDIGO,1,2018-19
06/18,31979,56937.0833,29156.4,4672686,4565.77,5170.011,88.31257805834456,567.3015,75.46678441710448,INDIGO,1,2018-19
07/18,33767,59674.55,30718.75,5002416,4804.228,5438.722,88.33376664591425,593.886184,76.12359189012554,INDIGO,1,2018-19
08/18,34409,60802.9,31462.91,4757378,4610.89,5565.617,82.84598095772671,608.6179599999999,71.3464370982414,INDIGO,1,2018-19
09/18,35602,62407.7,32512.217,4920335,4753.181,5747.32,82.70256397764523,630.1124456,70.94350288135301,INDIGO,1,2018-19
10/18,37403,64970.366,34065.699,5074853,4998.733,6014.907,83.10574045450745,661.36099,70.96494911198195,INDIGO,1,2018-19
11/18,36011,63706.45,32769.504,5005919,4916.916,5794.474,84.85526037393558,652.032005,70.29249660835283,INDIGO,1,2018-19
12/18,37305,66564.5,34430.362,5478523,5425.426,6101.125,88.92500973181177,685.2595259999999,73.75501541003023,INDIGO,1,2018-19
01/19,37199,67118.433,34515.158,5321832,5282.94,6111.639,86.44064219107182,673.25583,73.21938378164509,INDIGO,1,2018-19
02/19,33596,60391.5833,30957.867,4930608,4841.086,5475.814,88.40851789341274,602.746818,75.32556729316488,INDIGO,1,2018-19
03/19,38220,67719.3,35414.459,5440796,5391.425,6272.727,85.95025736015613,688.4147800000001,73.84901585058937,INDIGO,1,2018-19
