Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/24,2708,3671,1007.477,127836,50.82780399999999,64.29594900000001,79.05288714223659,6.5820475999999974,70.32124397473072,ALLIANCE,1,2024-25
05/24,2837,3893,1055.707,135176,53.532269,67.436582,79.38164629992664,6.9236536,70.45327848300428,ALLIANCE,1,2024-25
06/24,2869,3893,1052.39,133913,51.895877999999996,66.001499,78.62833236560279,6.882959999999996,68.62314905215203,ALLIANCE,1,2024-25
07/24,2640,3627,985.052,120815,47.143066,62.341487,75.62069541267118,6.425603600000002,66.80128258551808,ALLIANCE,1,2024-25
08/24,2581,3483,949.557,115010,44.304528,60.430431,73.31492969163168,6.2191836,64.83833682939299,ALLIANCE,1,2024-25
09/24,2302,3068,825.609,101886,38.623908,52.826797,73.11423405057097,5.411545200000003,64.96685827457665,ALLIANCE,1,2024-25
10/24,2264,2989,819.134,98107,37.80935,51.188048,73.8636292597053,5.239647200000001,65.68206369928899,ALLIANCE,1,2024-25
11/24,2121,2830,795.767,96860,38.93253300000001,52.284783000000004,74.46245497471034,5.0231746,70.53032160180138,ALLIANCE,1,2024-25
12/24,2069,2802,795.961,99952,40.571822999999995,52.22636,77.68456963112114,5.003502,73.7890541464758,ALLIANCE,1,2024-25
01/25,1953,2704,782.94,90895,38.440168,49.509391,77.64217499665871,4.7593418000000005,73.49872202916798,ALLIANCE,1,2024-25
02/25,1710,2497,728.02,85992,38.733658000000005,46.649685,83.03091006938205,4.4744141,78.77596532694639,ALLIANCE,1,2024-25
03/25,1697,2346,663.597,77945,32.12995,42.326896,75.90906264423454,4.0698085,71.84184710410823,ALLIANCE,1,2024-25
