Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/23,5118,8338.75,5092.332,741386,781.789593,847.636139,92.23174390869147,79.62720200000001,80.18205757904187,SPICE,1,2023-24
05/23,4971,7924.316666666667,4816.164,719797,744.3616450000001,785.375951,94.77774867593317,73.29679300000001,83.15172888426376,SPICE,1,2023-24
06/23,4087,6364.55,3743.767,555248,546.2785200000001,583.707388,93.58773440777487,53.8852065,84.41811771650168,SPICE,1,2023-24
07/23,3980,6348.916666666667,3679.561,504227,502.870518,565.941674,88.85553778815729,51.799934,79.64166817791688,SPICE,1,2023-24
08/23,3999,6193.366666666667,3689.829,541051,533.081279,586.6787850000001,90.86425018760478,54.790586000000005,79.55304446143357,SPICE,1,2023-24
09/23,4036,6333.233333333334,3729.657,544605,537.851403,588.645228,91.37106314909259,54.981133500000006,79.74870195173409,SPICE,1,2023-24
10/23,4603,7034.566666666667,4294.722,627964,637.102645,706.941238,90.12101865813068,65.3624555,77.32145273439127,SPICE,1,2023-24
11/23,5439,8444.5,5183.983,784533,799.382428,880.5153320000001,90.78574772619632,82.9126725,76.95302049581143,SPICE,1,2023-24
12/23,5234,8111.716666666666,4974.617,771972,791.503174,846.670164,93.48424069423096,78.9870275,78.80938260002256,SPICE,1,2023-24
01/24,4997,7553.633333333333,4549.914,740084,723.701856,772.698542,93.65901663627055,72.8117235,78.47297154247418,SPICE,1,2023-24
02/24,4480,6809.15,4096.594,658810,656.272964,694.7128240000001,94.46679855732732,64.822441,81.44366407292499,SPICE,1,2023-24
03/24,4802,7391.583333333333,4493.555,702476,709.538813,765.06011,92.74288434669532,72.01551549999999,78.92950189839303,SPICE,1,2023-24
