Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/20,,,,,0,0,,0,,AIE,1,2020-21
05/20,29,46.21,23.05,332,0.624,4.288,14.55223880597015,0.0338,99.17159763313612,AIE,1,2020-21
06/20,67,162.9,89.30600000000001,3244,5.217326,16.610916,31.40902042969816,0.49207589,84.24044063609782,AIE,1,2020-21
07/20,53,135.77000000000004,77.218,1732,2.729504,14.362548,19.00431594728178,0.249291756,80.80016252121871,AIE,1,2020-21
08/20,29,65.62999999999998,35.542,1361,1.990216,14.362548,13.856984150723118,0.18564010399999997,82.44474749917184,AIE,1,2020-21
09/20,26,70.01999999999998,40.096,999,1.5791579999999998,7.457856,21.17442331951703,0.16298997,82.37751316844833,AIE,1,2020-21
10/20,38,102.70000000000002,60.658,1786,3.096958,11.282388000000001,27.44949030293941,0.34719104999999995,85.25407754606579,AIE,1,2020-21
11/20,66,182.07999999999998,106.868,3990,6.851064999999999,19.877448,34.4665220605784,0.7358296520000001,86.83080523642718,AIE,1,2020-21
12/20,55,151.54,89.24600000000001,3834,6.301654,16.599756000000003,37.962329084837144,0.6429090799999999,83.64171929256312,AIE,1,2020-21
01/21,44,131.21,78.368,3075,5.566496,14.576448000000001,38.188288395087746,1.4339663109999998,86.48500578337506,AIE,1,2020-21
02/21,28,84.95,50.04838709677419,1712,3.138,9.309,33.70931356751531,0.297749319,83.14074666279924,AIE,1,2020-21
03/21,16,50.04,29.682795698924732,689,1.306,5.521,23.65513493932259,0.17577228200000003,80.21744236102025,AIE,1,2020-21
