Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/20,,,,,,,,,,INDIGO,2,2020-21
05/20,,,,,,,,,,INDIGO,2,2020-21
06/20,234,974,648,40150,105.038,116.766,89.95598033674185,13.949388079,65.28975923833426,INDIGO,2,2020-21
07/20,493,1456.25,1304.831,72878,198.711,242.327,82.00118022341712,29.040100148,58.267472111887145,INDIGO,2,2020-21
08/20,586,2256.41,1484.366,65082,178.286,258.938,68.85277556789656,18.0303073,89.06488440388367,INDIGO,2,2020-21
09/20,807,3140.33,2102.434,99219,264.491,371.291,71.23549991785418,43.867869001,55.1336100805322,INDIGO,2,2020-21
10/20,961,3617.3166,2447.681,129991,336.538,432.97,77.72778714460587,48.659799727999996,63.564401529075695,INDIGO,2,2020-21
11/20,1033,3572.88333,2513.438,142830,356.128,441.046,80.74622601724083,52.370135446,63.65091335952624,INDIGO,2,2020-21
12/20,1251,4516.53,2976.943,173098,420.973,527.469,79.80999831269703,59.51677711,64.75655927482057,INDIGO,2,2020-21
01/21,1605,5941.95,4255.699,180217,447.209,614.904,72.7282632736167,76.56985691,58.306351158871465,INDIGO,2,2020-21
02/21,1552,5610.55,3636.138,183348,438.673,585.598,74.91026267166212,63.539164985,69.56406205677177,INDIGO,2,2020-21
03/21,1846,6604.1,4250.854,211386,502.685,701.506,71.65797584054876,86.09128673200001,59.84648691523054,INDIGO,2,2020-21
