Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/22,43927,75079.52,38171.49,5957411,5665.27,7108.985,79.69168594391465,820.813369138,65.06584179225376,INDIGO,1,2022-23
05/22,45450,78683.78,39809.33,6376429,6076.111,7427.863,81.80160296440577,832.9047219240007,69.01558011343009,INDIGO,1,2022-23
06/22,44205,76159.1,38559.37,5982787,5684.887,7234.539,78.57980999203957,811.830929141999,66.48489245124475,INDIGO,1,2022-23
07/22,43029,73669.48,37099.95,5711288,5402.584,6955.302,77.67576447435353,780.612875969999,65.96630568194605,INDIGO,1,2022-23
08/22,43171,73508.58,37012.43,5832025,5421.725,6926.748,78.27230036374935,775.776364061,66.24347444730766,INDIGO,1,2022-23
09/22,42458,72430.8833333333,36366.28,5972449,5535.026,6800.011,81.39730950435226,760.4407218500005,69.04732783334171,INDIGO,1,2022-23
10/22,45536,77994.1,39781.38,6471441,6126.04,7464.328,82.07088434484658,834.9929793850014,68.89619283011349,INDIGO,1,2022-23
11/22,43379,74632.53,37649.46,6500903,6114.319,7039.907,86.85226949731012,786.7756988939989,72.95781383676612,INDIGO,1,2022-23
12/22,46194,80042.8,40290.74,6997472,6606.991,7553.711,87.4668225988524,844.1511197930016,73.15916805635925,INDIGO,1,2022-23
01/23,47977,83764.16666666667,41826.54,6847384,6423.447,7832.254,82.01275137399783,875.4061836539998,68.50281564346588,INDIGO,1,2022-23
02/23,44905,77935.81666666667,39121.08,6741948,6347.814,7336.614,86.52239302762828,820.5636,72.3551693007099,INDIGO,1,2022-23
03/23,50389,87295.8,43792.727,7317288,6903.032,8215.681,84.02263914579935,919.504620626001,70.33082537607133,INDIGO,1,2022-23
