Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/22,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2022-23
05/22,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2022-23
06/22,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2022-23
07/22,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2022-23
08/22,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2022-23
09/22,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2022-23
10/22,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2022-23
11/22,0,0,0,0,0,0,0,0,0,ALLIANCE,2,2022-23
12/22,24,33,8,585,0.207,0.542,38.191881918819185,0.050976,38.58678593848086,ALLIANCE,2,2022-23
01/23,36,44,12.744,1692,0.598968,0.8113680000000001,73.8219895287958,0.08665919999999999,66.3529411764706,ALLIANCE,2,2022-23
02/23,32,45,11.328,1958,0.693,0.735,94.28571428571428,0.0753312,82.81015037593984,ALLIANCE,2,2022-23
03/23,32,45.33333333333334,11.328,1922,0.680388,0.71508,95.14851485148515,0.0753312,81.28759398496241,ALLIANCE,2,2022-23
