Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/18,9913,19068.8,10670.9,1345592,1318.494,1562.6193,84.37717363403868,178.4067,78.14342174369011,AI,1,2018-19
05/18,10291,19998.2,11072.5,1333851,1318.5028,1613.8886,81.69726212825346,182.5308,78.00190433614492,AI,1,2018-19
06/18,9921,19060,10669.7,1238131,1228.3575,1509.3868,81.38122713144172,167.195,80.15652381949221,AI,1,2018-19
07/18,9631,18311.6,10386.2,1255241,1222.8203,1475.5551,82.8718832661688,163.7599,80.40973889212195,AI,1,2018-19
08/18,9639,18228.93,10385.99,1265214,1239.68966,1491.6476599999999,83.1087456671906,164.5376,80.8189739001906,AI,1,2018-19
09/18,9180,17076.9167,9917.133,1173238,1150.2854029999999,1400.9003989999999,82.1104343907036,154.29588522,79.53982907581259,AI,1,2018-19
10/18,10234,19104.35,11030.128,1276807,1254.204383,1579.133941,79.42355935974402,173.348297,77.54046986686002,AI,1,2018-19
11/18,9822,14215,10664.017,1242223,1177.788474,1532.21967,76.86812126618894,169.183375,77.4005412765882,AI,1,2018-19
12/18,10515,19972,11449,1372904,1313.6,1649.442,79.63905369209708,180.995,70.93179369595846,AI,1,2018-19
01/19,10378,19895.483,11299.762,1343960,1278.677705,1629.89395,78.4515891355999,178.332445,70.31215155492316,AI,1,2018-19
02/19,9320,17775,10168,1286834,1235.346,1470.423,84.01296769705044,160.899,75.139580730769,AI,1,2018-19
03/19,10247,18983,11230.325,1345336,1275.95651,1602.803247,79.60780665925367,173.696369,72.34932124574233,AI,1,2018-19
