Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/19,1245,3695,2558.381,196256,432.566489,477.90462099999996,90.51314216105895,40.60186,84.66319030704504,SPICE,2,2019-20
05/19,1381,4287,2982.134,213048,499.45581,558.1409520000001,89.48560542104782,47.417179,82.94252477567254,SPICE,2,2019-20
06/19,1403,4300,3068,215338,496.01872399999996,573.172563,86.53916045873257,48.81724,80.31394476623423,SPICE,2,2019-20
07/19,1579,4758,3418.64,223510,510.37539799999996,623.327985,81.87910863652303,54.25876,75.52967170646731,SPICE,2,2019-20
08/19,1852,5693,4144.845,250931,582.2516909999999,744.8410230000001,78.17127051553388,65.873307,71.77998303622437,SPICE,2,2019-20
09/19,1865,5449,4088.82,250092,562.972846,737.2576459999999,76.36039436883644,65.03388,71.03213712606414,SPICE,2,2019-20
10/19,1928,5891,4259.72,257488,595.589926,771.848765,77.16407060650022,67.769796,72.31450915094979,SPICE,2,2019-20
11/19,1850,5518,4091.592,272472,629.1913519999999,741.859655,84.81272000160192,65.098458,77.72026925737627,SPICE,2,2019-20
12/19,1879,5849.516666666666,4166.832,289242,663.466156,756.4095520000001,87.71255654370688,66.342262,80.30472084295226,SPICE,2,2019-20
01/20,1882,5908.066666666667,4172.438,276675,634.676403,758.160401,83.71268166510322,66.41232600000001,77.09566505771834,SPICE,2,2019-20
02/20,1650,5117.45,3663.703,233449,522.343175,677.1776850000001,77.13532010435338,58.326899,72.90822200233892,SPICE,2,2019-20
03/20,863,2431.7166666666667,1729.803,115048,244.61209200000002,324.005751,75.49621920136845,27.503363,74.66759599544244,SPICE,2,2019-20
