Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/19,468,782.666,460.9669,0,0,0,0,14.304350000000001,67.57039641787287,BLUE,1,2019-20
05/19,485,863.666,484,0,0,0,0,14.936,71.05650776647026,BLUE,1,2019-20
06/19,467,642,466,0,0,0,0,14.295,73.08849247988807,BLUE,1,2019-20
07/19,517,619.0833333333334,508,0,0,0,0,15.579,73.3230630977598,BLUE,1,2019-20
08/19,488,612.3333333333334,478,0,0,0,0,14.785,75.51572539736219,BLUE,1,2019-20
09/19,445,595.03,442,0,0,0,0,13.702,78.90818858560795,BLUE,1,2019-20
10/19,454,634.35,460,0,0,0,0,14.281,76.08710874588613,BLUE,1,2019-20
11/19,454,621.25,444,0,0,0,0,13.751,77.12166387899062,BLUE,1,2019-20
12/19,487,673.05,488,0,0,0,0,14.882,79.47184518209917,BLUE,1,2019-20
01/20,477,656.15,467,0,0,0,0,14.193,74.76925244839006,BLUE,1,2019-20
02/20,452,627.1,451,0,0,0,0,13.722,74.36233785162514,BLUE,1,2019-20
03/20,354,496.15,355,0,0,0,0,10.879,70.79694824891995,BLUE,1,2019-20
