Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/18,251,385.11,184.61,18590,22.784464,34.336716,66.35597883035757,1.926285998,54.45726439838867,AIE,1,2018-19
05/18,247,393.48,186.5,17789,25.441599999999998,34.6892,73.34155875603933,3.1247,63.788536499503955,AIE,1,2018-19
06/18,247,392.06,178.4,13637,21.6421,33.1818,65.22280286180978,3.20678,56.56452890438383,AIE,1,2018-19
07/18,250,388.57,178.74,14499,20.644853,33.245,62.099121672431956,3.122130908,54.14948987782802,AIE,1,2018-19
08/18,198,339.56,169.94,16703,21.76781,31.609209999999997,68.86540346943187,2.9379,59.64021920419347,AIE,1,2018-19
09/18,223,363.43,181.05,15855,22.424954000000003,33.675858,66.59059436585106,3.1184767,58.31939036132609,AIE,1,2018-19
10/18,257,402.75,174.7,15386,18.62576,32.494009999999996,57.320595395889896,3.7373499999999997,47.44458097314943,AIE,1,2018-19
11/18,292,431.82,199.112,17038,22.344562000000003,37.034832,60.33390943963241,3.56722,50.95452484007155,AIE,1,2018-19
12/18,300,446.48,208.02,19040,25.437,38.692,65.74227230435233,3.70906,58.342329323332585,AIE,1,2018-19
01/19,294,440.57,204.16,18115,24.981,37.974,65.78448412071418,3.74894,55.791503731721505,AIE,1,2018-19
02/19,256,380.87,173.76,14354,20.106,32.319,62.21108326371484,3.21127,52.15350935922548,AIE,1,2018-19
03/19,277,401.04,188.33,13074,19.537,35.03,55.77219526120468,3.38382,47.376042460887405,AIE,1,2018-19
